ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
64,4/11/2025,4,0.179000005,0.15,25.5,189.5950012,189.5950012,118.5599976,71.03549957,2,10.19789982,22.64189911,6.987450123,0.588,2.138000011,7.06799984,9.423999786,0.996887028,10.22189999,5086.970215,12594.5,
65,4/11/2025,4,0.184,0.15,25.5,195.2180023,195.2180023,123.6529999,71.56559753,2,9.868639946,23.68149948,7.275360107,0.726000011,2.006000042,7.06799984,9.423999786,0.996765018,10.22189999,5084.5,12593.7002,
66,4/11/2025,4,0.170000002,0.15,26,180.2610016,180.7200012,117.9690018,62.75099945,2,9.389929771,22.78370094,6.704899788,0.582000017,2.180000067,7.06799984,9.423999786,0.996703982,10.17150021,5085.310059,12593.2998,
67,4/11/2025,4,0.174999997,0.15,26,185.8789978,186.3529968,119.4680023,66.88430023,2,9.711350441,23.11969948,6.90831995,0.736000001,2.023999929,7.06799984,9.423999786,0.996948004,10.27219963,5086.700195,12603,
68,4/11/2025,4,0.182999998,0.15,26,193.5169983,194.0099945,117.4059982,76.60359955,2,11.14690018,22.59429932,6.893260002,0.603999972,2.073999882,7.06799984,9.423999786,0.996948004,10.12119961,5089.589844,12596.2002,
69,4/11/2025,4,0.180000007,0.15,26,191.128006,191.6150055,119.4950027,72.12010193,2,10.34130001,22.6833992,6.997039795,0.916000009,2.15199995,7.06799984,9.423999786,0.996703982,10.07079983,5084.75,12590.90039,
70,4/11/2025,4,0.169,0.15,26,179.6629944,180.1199951,116.7699966,63.34970093,2,9.323360443,22.59219933,6.815110207,0.601999998,2.118000031,7.06799984,9.423999786,0.997008979,10.17150021,5086.509766,12597.40039,
71,4/11/2025,4,0.174999997,0.15,26,185.9250031,186.397995,119.038002,67.36019897,2,9.519650459,22.88069916,7.09844017,0.811999977,2.115999937,7.06799984,9.423999786,0.996825993,10.17150021,5086.759766,12592.5,
72,4/11/2025,4,0.178000003,0.15,26,189.3059998,189.7879944,115.7180023,74.06939697,2,10.32149982,21.97030067,7.199950218,0.755999982,2.237999916,7.06799984,9.423999786,0.996703982,10.02040005,5084.75,12592.90039,
73,4/11/2025,4,0.191,0.15,26,202.4400024,202.9550018,123.3899994,79.56500244,2,10.81579971,23.50690079,7.381110191,0.666000009,2.138000011,7.06799984,9.423999786,0.996643007,9.970089912,5085.009766,12591.7002,
74,4/11/2025,4,0.174999997,0.15,26,185.4620056,185.9340057,113.5139999,72.41999817,2,10.47249985,22.25020027,6.937719822,0.720000029,2.028000116,7.06799984,9.423999786,0.996765018,9.970089912,5085.379883,12590.90039,
75,4/11/2025,4,0.165999994,0.15,26,176.1869965,176.6360016,110.7300034,65.90529633,2,9.933830261,21.62989998,6.655149937,0.560000002,2.03399992,7.06799984,9.423999786,0.996887028,10.17150021,5085.709961,12595.7998,
76,4/11/2025,4,0.171000004,0.15,26,182.1080017,182.5720062,116.6869965,65.8852005,2,9.536649704,22.19750023,6.929769993,0.649999976,2.118000031,7.06799984,9.423999786,0.996948004,10.17150021,5087.200195,12596.59961,
77,4/11/2025,4,0.160999998,0.15,26,171.4369965,171.8730011,111.2170029,60.65650177,2,9.605750084,21.57859993,6.333930016,0.646000028,2.213999987,7.06799984,9.423999786,0.996948004,10.12119961,5088.209961,12601,
78,4/11/2025,4,0.169,0.15,26,179.4400024,179.8970032,113.5589981,66.33799744,2,10.03199959,21.75449944,6.632100105,0.615999997,2.039999962,7.06799984,9.423999786,0.997070014,10.22189999,5088.02002,12600.2002,
79,4/11/2025,4,0.163000003,0.15,26,173.4409943,173.8829956,112.4660034,61.41740036,2,9.275440216,21.62549973,6.641379833,0.635999978,1.942000031,7.06799984,9.423999786,0.997008979,10.27219963,5087.52002,12603.7998,
80,4/11/2025,4,0.169,0.15,26,179.8529968,180.3110046,113.2040024,67.1065979,2,10.0298996,21.46789932,6.710340023,0.526000023,2.176000118,7.06799984,9.423999786,0.997070014,10.27219963,5087.77002,12599,
81,4/11/2025,4,0.165000007,0.15,26,175.401001,175.8480072,107.1880035,68.65989685,2,10.76399994,20.81609917,6.399350166,0.684000015,2.170000076,7.06799984,9.423999786,0.996765018,10.02040005,5084.939941,12594.5,
82,4/11/2025,4,0.179000005,0.15,26,189.8659973,190.348999,114.197998,76.15100098,2,11.11069965,21.59970093,6.877319813,0.671999991,2.124000072,7.06799984,9.423999786,0.996581972,9.819029808,5083.049805,12587.2998,
83,4/11/2025,4,0.173999995,0.15,26,184.3609924,184.8309937,110.4950027,74.33550262,2,11.4296999,20.96960068,6.522799969,0.588,2.237999916,7.06799984,9.423999786,0.997070014,10.22189999,5087.259766,12597.7998,
84,4/11/2025,4,0.163000003,0.15,26,174.0079956,174.451004,113.4000015,61.05099869,2,9.19272995,21.80380058,6.660739899,0.773999989,1.981999993,7.06799984,9.423999786,0.997070014,10.22189999,5088.52002,12595.2998,
85,4/11/2025,4,0.177000001,0.15,26,188.0809937,188.5599976,110.8560028,77.70400238,2,11.92679977,21.20870018,6.535409927,0.769999981,1.993999958,7.06799984,9.423999786,0.996887028,10.02040005,5086.810059,12595.2998,
86,4/11/2025,4,0.171000004,0.15,26,181.9550018,182.4179993,109.9599991,72.45850372,2,10.97719955,21.05780029,6.619400024,0.663999975,2.134000063,7.06799984,9.423999786,0.997192025,10.37290001,5088.27002,12600.2002,
87,4/11/2025,4,0.177000001,0.15,26,187.3800049,187.8569946,111.4400024,76.41680145,2,11.10999966,21.53000069,6.899250031,0.70599997,1.860000014,7.06799984,9.423999786,0.996948004,10.07079983,5086.189941,12599.7998,
88,4/11/2025,4,0.158000007,0.15,26,168.3159943,168.7449951,106.3339996,62.41070175,2,9.981249809,20.10549927,6.272699833,0.842000008,2.220000029,7.06799984,9.423999786,0.996825993,10.02040005,5084.560059,12595.2998,
89,4/11/2025,4,0.165999994,0.15,26,176.1230011,176.5720062,108.7850037,67.78659821,2,10.52390003,20.65049934,6.460100174,0.797999978,2.115999937,7.06799984,9.423999786,0.997070014,10.22189999,5086.950195,12597.7998,
90,4/11/2025,4,0.167999998,0.15,26,178.1490021,178.6029968,111.4160004,67.18699646,2,10.15690041,21.45549965,6.635570049,0.617999971,1.998000026,7.06799984,9.423999786,0.996887028,10.12119961,5084.200195,12599.40039,
91,4/11/2025,4,0.165999994,0.15,26,176.3480072,176.7969971,110.2770004,66.51979828,2,10.03849983,20.90699959,6.647160053,0.65200001,2.157999992,7.06799984,9.423999786,0.996887028,10.07079983,5086.080078,12594.90039,
92,4/11/2025,4,0.163000003,0.15,26,173.9409943,174.3840027,109.6869965,64.69750214,2,9.84648037,20.91900063,6.589529991,0.615999997,2.197999954,7.06799984,9.423999786,0.99713099,10.32260036,5088.52002,12601,
93,4/11/2025,4,0.166999996,0.15,26,177.4689941,177.9210052,110.5429993,67.37770081,2,10.06130028,20.83449936,6.71762991,0.80400002,2.252000093,7.06799984,9.423999786,0.996887028,10.07079983,5084.350098,12597.40039,
94,4/11/2025,4,0.172999993,0.15,26,183.6679993,184.1360016,110.9499969,73.18540192,2,10.8142004,21.18980026,6.789500237,0.723999977,2.174000025,7.06799984,9.423999786,0.996765018,9.970089912,5083.240234,12594.09961,
95,4/11/2025,4,0.173999995,0.15,26,184.2810059,184.75,112.788002,71.96269989,2,10.41559982,21.26860046,6.931109905,0.680000007,1.914000034,7.06799984,9.423999786,0.996825993,9.970089912,5083.359863,12592.5,
96,4/11/2025,4,0.178000003,0.15,26,188.7929993,189.2740021,113.6360016,75.63800049,2,10.68630028,21.45859909,7.100999832,0.670000017,2.140000105,7.06799984,9.423999786,0.996765018,9.970089912,5086.189941,12594.09961,
97,4/11/2025,4,0.180999994,0.15,26,192.2949982,192.7850037,117.8590012,74.92610168,2,10.53470039,22.05859947,7.135389805,0.712000012,1.993999958,7.06799984,9.423999786,0.996765018,10.07079983,5084.430176,12595.7998,
98,4/11/2025,4,0.172999993,0.15,26,183.2259979,183.6929932,109.0589981,74.63339996,2,11.13269997,20.42429924,6.724070072,0.586000025,2.125999928,7.06799984,9.423999786,0.997008979,10.17150021,5087.330078,12594.09961,
99,4/11/2025,4,0.164000005,0.15,26,174.8090057,175.2539978,106.788002,68.46559906,2,10.72259998,20.22769928,6.404689789,0.736000001,2.042000055,7.06799984,9.423999786,0.996948004,10.17150021,5087.640137,12599.7998,
100,4/11/2025,4,0.172999993,0.15,26,183.5330048,184,111.3669968,72.63330078,2,10.86699963,20.88780022,6.704329967,0.779999971,2.038000107,7.06799984,9.423999786,0.996948004,10.22189999,5087.580078,12600.2002,
101,4/11/2025,4,0.397000015,0.475,23.5,411.2349854,407.04599,249.8549957,157.1909943,2,10.26029968,44.22669983,15.35690022,0.800000012,2.589999914,7.06799984,9.423999786,0.997619987,11.27929974,5088.779785,12622.7002,
102,4/11/2025,4,0.444000006,0.475,23.5,459.6719971,454.9899902,271.0230103,183.9669952,2,10.54440022,46.5807991,17.49920082,0.839999974,2.713999987,7.06799984,9.423999786,0.997008979,10.82610035,5084.370117,12613.90039,
103,4/11/2025,4,0.469999999,0.475,23.5,485.3110046,480.3680115,270.3699951,209.996994,2,11.6590004,45.84349823,18.06010056,0.783999979,2.782000065,7.06799984,9.423999786,0.997313976,10.97719955,5090.220215,12622.7002,
104,4/11/2025,4,0.501999974,0.475,23.5,519.0830078,513.7960205,274.8009949,238.9949951,2,12.81949997,46.25500107,18.69330025,0.75999999,2.812000036,7.06799984,9.423999786,0.997313976,10.87650013,5087.77002,12618.7002,
105,4/11/2025,4,0.47299999,0.475,24,489.0339966,485.2990112,265.9930115,219.3059998,2,12.29249954,44.48559952,17.88870049,0.879999995,2.931999922,7.06799984,9.423999786,0.997313976,10.82610035,5087.140137,12615.09961,
106,4/11/2025,4,0.474000007,0.475,24,489.276001,485.5379944,265.1629944,220.375,2,12.4428997,44.8689003,17.76180077,0.783999979,2.640000105,7.06799984,9.423999786,0.99713099,10.67500019,5087.52002,12613.09961,
107,4/11/2025,4,0.463,0.475,24,478.947998,475.2890015,263.6419983,211.647995,2,11.85820007,43.76470184,17.90169907,0.93599999,2.861999989,7.06799984,9.423999786,0.997008979,10.57429981,5087.200195,12610.2998,
108,4/11/2025,4,0.463999987,0.475,24,479.2919922,475.631012,255.1470032,220.4839935,2,12.68859959,42.55709839,17.43190002,0.75,2.802000046,7.06799984,9.423999786,0.996825993,10.42329979,5085.879883,12607.40039,
109,4/11/2025,4,0.476999998,0.475,24.5,492.6289978,490.1199951,259.822998,230.2969971,2,12.9769001,42.86510086,17.79450035,0.871999979,2.993999958,7.06799984,9.423999786,0.997313976,10.87650013,5090.410156,12615.5,
110,4/11/2025,4,0.456999987,0.475,24.5,472.0029907,469.598999,254.8829956,214.7160034,2,12.40240002,42.31880188,17.36660004,0.772000015,2.85800004,7.06799984,9.423999786,0.996887028,10.47360039,5083.959961,12605.40039,
111,4/11/2025,4,0.476000011,0.475,24.5,491.7080078,489.20401,251.1199951,238.0839996,2,13.6328001,41.37099838,17.51210022,0.779999971,2.844000101,7.06799984,9.423999786,0.997253001,10.72539997,5088.649902,12611.09961,
112,4/11/2025,4,0.460999995,0.475,24.5,476.618988,474.1919861,252.6100006,221.5820007,2,12.71889973,41.41450119,17.47699928,0.801999986,2.934000015,7.06799984,9.423999786,0.996825993,10.32260036,5086.009766,12604.2002,
113,4/11/2025,4,0.456999987,0.475,25,472.6329956,471.4299927,250.6970062,220.7319946,2,12.7809,41.25849915,17.32229996,0.843999982,2.767999887,7.06799984,9.423999786,0.997008979,10.47360039,5087.709961,12608.59961,
114,4/11/2025,4,0.477999985,0.475,25,493.8850098,492.6270142,249.3170013,243.3099976,2,13.97959995,40.81650162,17.45569992,0.765999973,2.917999983,7.06799984,9.423999786,0.997070014,10.47360039,5086.950195,12607,
115,4/11/2025,4,0.47299999,0.475,25,489.1210022,487.8760071,251.1990051,236.6759949,2,13.39309978,41.1534996,17.72340012,0.716000021,2.976000071,7.06799984,9.423999786,0.997070014,10.47360039,5087.200195,12607.7002,
116,4/11/2025,4,0.460000008,0.475,25,475.6080017,474.3970032,248.2250061,226.1730042,2,13.00650024,40.27339935,17.44029999,0.972000003,3.038000107,7.06799984,9.423999786,0.997070014,10.47360039,5085.939941,12610.2998,
117,4/11/2025,4,0.474000007,0.475,25,490.1759949,488.928009,242.8600006,246.0679932,2,14.30140018,39.79159927,17.25749969,0.751999974,2.766000032,7.06799984,9.423999786,0.997008979,10.37290001,5084.180176,12604.59961,
118,4/11/2025,4,0.456999987,0.475,25,472.1629944,470.9609985,242.7940063,228.1670074,2,13.42169952,39.99649811,17.04990005,0.755999982,2.788000107,7.06799984,9.423999786,0.997070014,10.37290001,5086.890137,12606.90039,
